DOI,Article name,Compound_1,Compound_2,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h",Type of reactor,"Loading, μg/cm2","Add_carbon, %","Surface area of electrode, cm2","Flow rate CO2, ml/min","Av_volume, mkm^3",Ratio_sphere_volume,"Min_volume, mkm^3","Max_volume, mkm^3",1_efermi,1_density_atomic,1_total_magnetization_normalized_formula_units,1_energy_above_hull,1_energy_per_atom,1_volume,1_band_gap,2_efermi,2_density_atomic,2_total_magnetization_normalized_formula_units,2_energy_above_hull,2_energy_per_atom,2_volume,2_band_gap,Product_exactmw,Product_lipinskiHBA,Product_lipinskiHBD,Product_NumAtoms,Product_FractionCSP3,Product_CrippenClogP,Product_hallKierAlpha,Product_kappa2,Product_kappa3,anion_molar_conductance,anion_mobility,anion_diffusion_coefficient,anion_hydr_R_of_ion,Type of reactor_H-cell,Base_carbon paper electrode,Base_gasdiffusion electrode
https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,27.18,1.0,H-cell,713.19,0.0,0.2,20.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015650064,0.0,0.0,2.0,0.0,0.246,0.0,0.0,0.0,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,6.95,1.0,H-cell,713.19,0.0,0.2,20.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99491462,1.0,0.0,2.0,0.0,-0.03751,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,19.71,1.0,H-cell,713.19,0.0,0.2,20.0,0.6167632874666666,0.6366197723675814,0.20773521416666665,1.3628349599666665,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.031300127999998,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,37.93,1.0,H-cell,713.19,0.0,0.2,20.0,0.6167632874666666,0.6366197723675814,0.20773521416666665,1.3628349599666665,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015650064,0.0,0.0,2.0,0.0,0.246,0.0,0.0,0.0,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,12.48,1.0,H-cell,713.19,0.0,0.2,20.0,0.6167632874666666,0.6366197723675814,0.20773521416666665,1.3628349599666665,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99491462,1.0,0.0,2.0,0.0,-0.03751,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,30.27,1.0,H-cell,713.19,0.0,0.2,20.0,0.2872872552433975,0.664721574094151,0.08903261943076016,0.6656848342245473,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.031300127999998,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,45.57,1.0,H-cell,713.19,0.0,0.2,20.0,0.2872872552433975,0.664721574094151,0.08903261943076016,0.6656848342245473,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015650064,0.0,0.0,2.0,0.0,0.246,0.0,0.0,0.0,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,11.3,1.0,H-cell,713.19,0.0,0.2,20.0,0.2872872552433975,0.664721574094151,0.08903261943076016,0.6656848342245473,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99491462,1.0,0.0,2.0,0.0,-0.03751,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,No,100.0,sphere,0.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,34.91,1.0,H-cell,713.19,0.0,0.2,20.0,3.269211656602929,1.0,1.0814226717537279,7.322700372283304,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.031300127999998,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,1.0,0.0,0.0
https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,No,100.0,sphere,0.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,34.43,1.0,H-cell,713.19,0.0,0.2,20.0,3.269211656602929,1.0,1.0814226717537279,7.322700372283304,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015650064,0.0,0.0,2.0,0.0,0.246,0.0,0.0,0.0,44.5,4.353,1.118,2.193,1.0,0.0,0.0
