,Number,Autor,Publication,Title,Journal,IF,DOI,"Stability, hour",Key Product,Article name,Formula,Compound_1,Compound_2,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h",Type of reactor,"Loading, μg/cm2","Add_carbon, %","Surface area of electrode, cm2","Flow rate CO2, ml/min","Volume, cm3"
0,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,C2H4,45.6,,H-cell,713.19,0.0,0.2,20.0,
1,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,H2,27.18,,H-cell,713.19,0.0,0.2,20.0,
2,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,CO,6.95,,H-cell,713.19,0.0,0.2,20.0,
3,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,C2H4,19.71,,H-cell,713.19,0.0,0.2,20.0,
4,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,H2,37.93,,H-cell,713.19,0.0,0.2,20.0,
5,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,CO,12.48,,H-cell,713.19,0.0,0.2,20.0,
6,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,C2H4,30.27,,H-cell,713.19,0.0,0.2,20.0,
7,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,H2,45.57,,H-cell,713.19,0.0,0.2,20.0,
8,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,CO,11.3,,H-cell,713.19,0.0,0.2,20.0,
9,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,C2H4,34.91,,H-cell,713.19,0.0,0.2,20.0,
10,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,H2,34.43,,H-cell,713.19,0.0,0.2,20.0,
11,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,p-Cu2O,Cu2O,Cu2O,,100.0,sphere,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.10,CO,10.04,,H-cell,713.19,0.0,0.2,20.0,
12,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,C2H4,59.13,,H-cell,713.19,0.0,0.2,20.0,
13,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,H2,20.19,,H-cell,713.19,0.0,0.2,20.0,
14,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,CO,3.95,,H-cell,713.19,0.0,0.2,20.0,
15,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,C2H4,41.61,,H-cell,713.19,0.0,0.2,20.0,
16,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,H2,32.75,,H-cell,713.19,0.0,0.2,20.0,
17,2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,,C2H4,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.20,CO,9.42,,H-cell,713.19,0.0,0.2,20.0,
