,population_size,Generation number,Time
0,10,10,0.626828670501709
1,20,10,0.8956449031829834
2,30,10,1.1989989280700684
3,40,10,1.682250738143921
4,50,10,1.9406142234802246
5,60,10,2.1042685508728027
6,70,10,2.4970004558563232
7,80,10,2.6865148544311523
8,90,10,3.011488437652588
9,100,10,3.3765273094177246
10,10,20,1.2630503177642822
11,20,20,1.8860621452331543
12,30,20,2.7460830211639404
13,40,20,3.1371724605560303
14,50,20,3.7550981044769287
15,60,20,4.569456100463867
16,70,20,4.778123378753662
17,80,20,5.528417348861694
18,90,20,5.9825427532196045
19,100,20,7.034492492675781
20,10,30,1.8138267993927002
21,20,30,2.7731189727783203
22,30,30,3.6182942390441895
23,40,30,4.532432794570923
24,50,30,5.505865573883057
25,60,30,6.395357608795166
26,70,30,7.201996564865112
27,80,30,8.194911241531372
28,90,30,8.909330368041992
29,100,30,9.760059595108032
30,10,40,2.5044174194335938
31,20,40,3.693110942840576
32,30,40,4.854994297027588
33,40,40,6.679992914199829
34,50,40,8.869659662246704
35,60,40,8.276979446411133
36,70,40,9.704014778137207
37,80,40,11.490841388702393
38,90,40,12.688003063201904
39,100,40,12.838016033172607
40,10,50,2.918246269226074
41,20,50,4.447038888931274
42,30,50,5.737929582595825
43,40,50,7.215001583099365
44,50,50,8.733017444610596
45,60,50,10.523991823196411
46,70,50,12.471000909805298
47,80,50,14.981519937515259
48,90,50,15.955837726593018
49,100,50,16.211014986038208
50,10,60,3.4734737873077393
51,20,60,5.263999700546265
52,30,60,7.596999645233154
53,40,60,8.796997308731079
54,50,60,10.247872114181519
55,60,60,11.938979387283325
56,70,60,13.609408140182495
57,80,60,15.350000143051147
58,90,60,17.562084674835205
59,100,60,18.823673009872437
60,10,70,3.9799909591674805
61,20,70,6.053195238113403
62,30,70,8.0649995803833
63,40,70,10.051421880722046
64,50,70,12.100000381469727
65,60,70,13.96793246269226
66,70,70,15.762979984283447
67,80,70,18.088000535964966
68,90,70,19.94003415107727
69,100,70,21.74365758895874
70,10,80,4.578016519546509
71,20,80,6.867995500564575
72,30,80,9.306627750396729
73,40,80,11.44399356842041
74,50,80,13.63071894645691
75,60,80,15.817001581192017
76,70,80,18.16745662689209
77,80,80,20.474438667297363
78,90,80,22.635988235473633
79,100,80,24.91000199317932
80,10,90,5.163015604019165
81,20,90,7.82878565788269
82,30,90,10.307022094726562
83,40,90,12.917094469070435
84,50,90,15.391015768051147
85,60,90,17.79481530189514
86,70,90,20.48500108718872
87,80,90,23.2475848197937
88,90,90,25.425446271896362
89,100,90,27.902493000030518
90,10,100,5.775677919387817
91,20,100,8.620081663131714
92,30,100,11.40500020980835
93,40,100,14.201139211654663
94,50,100,17.103489875793457
95,60,100,19.883001804351807
96,70,100,22.674859523773193
97,80,100,25.495699167251587
98,90,100,28.33459973335266
99,100,100,31.09199047088623
