iter	RMSE
0	19.13919783
1	17.84806333
2	16.72556821
3	15.84894983
4	15.10145917
5	14.4161805
6	13.86710783
7	13.2297563
8	12.75643486
9	12.37068895
10	12.07525628
11	11.67303917
12	11.39258351
13	11.14016749
14	10.8185646
15	10.46231812
16	10.19301585
17	9.990717363
18	9.827398158
19	9.660775371
20	9.531028343
21	9.355518151
22	9.212932291
23	9.036493609
24	8.921014661
25	8.831915081
26	8.77795899
27	8.697226203
28	8.62827848
29	8.460358103
30	8.354477253
31	8.31915512
32	8.158468468
33	8.080475113
34	7.96750857
35	7.896217741
36	7.84212411
37	7.700798485
38	7.661616036
39	7.568140583
40	7.526259228
41	7.48041492
42	7.427052207
43	7.340971367
44	7.320327208
45	7.281778631
46	7.227966874
47	7.135701889
48	7.074880019
49	7.023645196
50	6.952543767
51	6.893687312
52	6.840355636
53	6.779521562
54	6.692122885
55	6.615078562
56	6.565976176
57	6.528913322
58	6.492224997
59	6.432540779
60	6.404760946
61	6.351567611
62	6.294223738
63	6.234365373
64	6.20144433
65	6.181726189
66	6.124042649
67	6.096181188
68	6.049619218
69	5.986493019
70	5.954532857
71	5.915124245
72	5.891151321
73	5.858774313
74	5.811687409
75	5.775579678
76	5.754658538
77	5.705667528
78	5.673567937
79	5.619263192
80	5.599345199
81	5.577696078
82	5.556240749
83	5.537605618
84	5.499998969
85	5.487423546
86	5.455074162
87	5.42822545
88	5.385473613
89	5.363775402
90	5.32980408
91	5.281408998
92	5.244672001
93	5.204491019
94	5.190072567
95	5.170002619
96	5.130324309
97	5.079795461
98	5.055999024
99	5.032800927
100	4.996856851
101	4.985864982
102	4.95640313
103	4.940230825
104	4.906758374
105	4.893703746
106	4.840719832
107	4.820837473
108	4.798330632
109	4.771603687
110	4.747074526
111	4.71442075
112	4.687983479
113	4.67055366
114	4.637994224
115	4.620764102
116	4.613641995
117	4.597712904
118	4.569331035
119	4.55866493
120	4.520224963
121	4.497079027
122	4.481188752
123	4.472784375
124	4.454765442
125	4.443572872
126	4.409932474
127	4.391693438
128	4.381938653
129	4.359510139
130	4.328543015
131	4.311819352
132	4.29615837
133	4.259839033
134	4.230924876
135	4.225289199
136	4.204486047
137	4.181898913
138	4.151628697
139	4.12420887
140	4.096876567
141	4.076708634
142	4.054471796
143	4.032795574
144	4.006240168
145	3.991016224
146	3.97445153
147	3.954138573
148	3.925600593
149	3.900896143
150	3.883536804
151	3.851646693
152	3.838767743
153	3.823315434
154	3.810478173
155	3.785423747
156	3.758237363
157	3.743988493
158	3.719581965
159	3.698836383
160	3.690557785
161	3.683594474
162	3.663809543
163	3.652478587
164	3.643754005
165	3.628806408
166	3.602067347
167	3.594304771
168	3.582967283
169	3.566319023
170	3.554329922
171	3.522727313
172	3.496807566
173	3.468703263
174	3.452997206
175	3.432754344
176	3.42707778
177	3.409148188
178	3.400378635
179	3.381220345
180	3.377040338
181	3.364627729
182	3.360098706
183	3.348477879
184	3.343695995
185	3.328680988
186	3.312216943
187	3.30654087
188	3.29363521
189	3.283514971
190	3.263399215
191	3.248033916
192	3.228348172
193	3.22519946
194	3.219202714
195	3.207906128
196	3.201787435
197	3.178954023
198	3.162771913
199	3.158325695
200	3.152822141
201	3.140100686
202	3.118864451
203	3.10212065
204	3.08999333
205	3.083339668
206	3.07687732
207	3.069301844
208	3.050686903
209	3.041817022
210	3.024675468
211	3.009929673
212	2.998660634
213	2.984259365
214	2.976783789
215	2.951936154
216	2.945603796
217	2.928299779
218	2.921290905
219	2.910051055
220	2.901101142
221	2.88304159
222	2.862457019
223	2.854641392
224	2.842264167
225	2.825609485
226	2.81421578
227	2.809056275
228	2.80214124
229	2.795674462
230	2.786671811
231	2.783619418
232	2.76739724
233	2.755727533
234	2.745487789
235	2.737055025
236	2.727289542
237	2.722188663
238	2.71428619
239	2.696598778
240	2.68977138
241	2.68414132
242	2.672950704
243	2.666523794
244	2.661669941
245	2.647876609
246	2.639411707
247	2.628673992
248	2.628511169
249	2.623673806
250	2.617658871
251	2.608692657
252	2.606817469
253	2.601495514
254	2.59089472
255	2.577666427
256	2.57418267
257	2.558933414
258	2.550352224
259	2.542545209
260	2.532346508
261	2.52665002
262	2.515237181
263	2.499722954
264	2.488911268
265	2.482166925
266	2.472169179
267	2.458689178
268	2.452936469
269	2.447849126
270	2.437098436
271	2.425579397
272	2.414014225
273	2.406357816
274	2.398051481
275	2.388426734
276	2.373592113
277	2.366858217
278	2.359191056
279	2.351775331
280	2.341714922
281	2.334112788
282	2.322128114
283	2.307880031
284	2.299475641
285	2.291354567
286	2.284122667
287	2.271912022
288	2.257845524
289	2.249951279
290	2.239352274
291	2.229952224
292	2.219490316
293	2.211915562
294	2.203966689
295	2.195990426
296	2.193304454
297	2.187238326
298	2.182508304
299	2.174729469
300	2.169807932
301	2.155979182
302	2.152315308
303	2.148608784
304	2.137217609
305	2.127844907
306	2.117145768
307	2.108824003
308	2.096903536
309	2.089933632
310	2.082905132
311	2.075297272
312	2.068462246
313	2.059217519
314	2.051922768
315	2.049273803
316	2.042916666
317	2.038673545
318	2.035107984
319	2.026932283
320	2.022507155
321	2.01934517
322	2.010074733
323	2.005981828
324	1.996199015
325	1.988299025
326	1.983516313
327	1.977448029
328	1.971281992
329	1.964979318
330	1.952731035
331	1.948153356
332	1.939592903
333	1.934877681
334	1.924313848
335	1.918000461
336	1.913198985
337	1.910019224
338	1.901625154
339	1.898232928
340	1.893036869
341	1.885310701
342	1.884138293
343	1.879823671
344	1.87447518
345	1.869395461
346	1.864882772
347	1.856693257
348	1.852107768
349	1.849516548
350	1.842441709
351	1.83749679
352	1.829378808
353	1.824259658
354	1.819578028
355	1.817464442
356	1.804842436
357	1.800561046
358	1.788568398
359	1.782532056
360	1.77571949
361	1.766600813
362	1.755833304
363	1.751730017
364	1.744694425
365	1.74150225
366	1.734685421
367	1.731836961
368	1.729778665
369	1.724386891
370	1.720556284
371	1.717695976
372	1.713259812
373	1.710352162
374	1.699235924
375	1.688369406
376	1.682586817
377	1.677868215
378	1.672746833
379	1.670345969
380	1.668057078
381	1.664448407
382	1.65942226
383	1.658042044
384	1.652720687
385	1.649285588
386	1.64358496
387	1.640522604
388	1.634560799
389	1.62724028
390	1.621080829
391	1.618243505
392	1.611069673
393	1.606376629
394	1.603756394
395	1.599588697
396	1.593811139
397	1.585225158
398	1.578019839
399	1.571974469
400	1.564479646
401	1.560512579
402	1.555931152
403	1.549906883
404	1.54604121
405	1.542848002
406	1.539168935
407	1.536005023
408	1.528680395
409	1.526302832
410	1.522167176
411	1.519945738
412	1.517056231
413	1.515108024
414	1.511219008
415	1.50760424
416	1.505524935
417	1.49957123
418	1.494983112
419	1.492000586
420	1.486724966
421	1.482231502
422	1.480278616
423	1.479035071
424	1.476189143
425	1.472422029
426	1.4685869
427	1.463439859
428	1.45908022
429	1.457003236
430	1.452951094
431	1.449856224
432	1.444381447
433	1.441017157
434	1.438084251
435	1.430563397
436	1.427872532
437	1.420272271
438	1.410438573
439	1.403964644
440	1.400578793
441	1.395101359
442	1.391189468
443	1.385063903
444	1.380676141
445	1.375331261
446	1.370266438
447	1.366987936
448	1.362101991
449	1.358026966
450	1.355907607
451	1.350511928
452	1.342948337
453	1.338603103
454	1.335674377
455	1.330385199
456	1.328811795
457	1.323001641
458	1.316820739
459	1.315461791
460	1.314566505
461	1.311004793
462	1.306966052
463	1.304117203
464	1.297303651
465	1.291146861
466	1.289439876
467	1.286942851
468	1.28445544
469	1.281993685
470	1.280215115
471	1.277035134
472	1.270497247
473	1.26938363
474	1.266574521
475	1.261766034
476	1.256177708
477	1.254631083
478	1.250843769
479	1.246876871
480	1.241413592
481	1.236505862
482	1.234681632
483	1.230866151
484	1.225036667
485	1.221939585
486	1.219191464
487	1.21227437
488	1.209298507
489	1.203530028
490	1.201644728
491	1.195235344
492	1.191321655
493	1.188370135
494	1.186675082
495	1.18328072
496	1.181282613
497	1.176542698
498	1.17472657
499	1.167207448
500	1.165336206
501	1.159516347
502	1.153484822
503	1.152330129
504	1.148392545
505	1.146707187
506	1.143794478
507	1.140195019
508	1.137717642
509	1.135951766
510	1.133762134
511	1.131481744
512	1.125153733
513	1.11720523
514	1.115623493
515	1.11192011
516	1.108500428
517	1.104982337
518	1.102214738
519	1.100236653
520	1.095881912
521	1.094742819
522	1.092814238
523	1.089016
524	1.08668288
525	1.083554875
526	1.07938374
527	1.077175219
528	1.073112014
529	1.068646254
530	1.067033037
531	1.065508866
532	1.063420984
533	1.060613746
534	1.059696329
535	1.057886286
536	1.056287131
537	1.055595512
538	1.051553201
539	1.046232863
540	1.045138734
541	1.039338507
542	1.037949403
543	1.034091221
544	1.031050749
545	1.028638961
546	1.027509865
547	1.025342309
548	1.024378396
549	1.021618328
550	1.018388769
551	1.01621646
552	1.00965742
553	1.007882012
554	1.005623368
555	1.001915391
556	0.9978702294
557	0.9963449199
558	0.994511446
559	0.9934918078
560	0.9898775462
561	0.9860205479
562	0.9834481441
563	0.9806940537
564	0.9755415797
565	0.9716265196
566	0.9695827152
567	0.9638662406
568	0.9618258395
569	0.9608290527
570	0.9568962138
571	0.9547153759
572	0.9506569856
573	0.9479701524
574	0.9456502019
575	0.9438241128
576	0.9407534603
577	0.9374633662
578	0.9345845153
579	0.9330398878
580	0.9310378511
581	0.9283714626
582	0.9263514805
583	0.9247605611
584	0.9209726822
585	0.9171819013
586	0.9123350155
587	0.9098120212
588	0.9081518515
589	0.9064122351
590	0.9036341553
591	0.9006838268
592	0.8977263393
593	0.8969887042
594	0.8904529568
595	0.8889360102
596	0.8866911895
597	0.8848027016
598	0.8825170624
599	0.8786776137
600	0.877716909
601	0.8765112869
602	0.872277219
603	0.8688975994
604	0.8670620445
605	0.863392135
606	0.8606172831
607	0.8574946906
608	0.8557970201
609	0.8534174964
610	0.8522833883
611	0.8501916161
612	0.8495800472
613	0.847974241
614	0.8458405214
615	0.8433191372
616	0.8418870281
617	0.8404073114
618	0.8386763765
619	0.8357796067
620	0.8330394715
621	0.830701727
622	0.8284291359
623	0.8238986852
624	0.8223469645
625	0.8188248741
626	0.8170006796
627	0.8145938717
628	0.8122142139
629	0.8106967089
630	0.8097796443
631	0.8090031005
632	0.804903954
633	0.8034997559
634	0.7995562088
635	0.7976879496
636	0.7938616609
637	0.7921325543
638	0.791103596
639	0.7885404443
640	0.7860547654
641	0.7839975675
642	0.7818413339
643	0.7806949131
644	0.7790373194
645	0.7771697894
646	0.7757084487
647	0.7732572933
