iter	Passed	Remaining
0	220	184390
1	283	118413
2	337	93691
3	413	86109
4	504	83969
5	570	78970
6	630	74792
7	689	71403
8	747	68752
9	816	67532
10	879	66013
11	977	67189
12	1052	66716
13	1113	65464
14	1171	64188
15	1232	63234
16	1288	62164
17	1353	61562
18	1415	60935
19	1478	60403
20	1546	60075
21	1608	59569
22	1671	59164
23	1738	58875
24	1802	58531
25	1858	57979
26	1918	57569
27	1990	57500
28	2056	57297
29	2114	56871
30	2175	56575
31	2247	56532
32	2311	56327
33	2370	55991
34	2431	55714
35	2497	55579
36	2563	55435
37	2625	55214
38	2697	55203
39	2765	55107
40	2832	54997
41	2900	54902
42	2957	54613
43	3022	54479
44	3088	54360
45	3146	54112
46	3209	53944
47	3275	53845
48	3342	53750
49	3407	53629
50	3465	53410
51	3527	53253
52	3590	53118
53	3650	52937
54	3712	52783
55	3771	52596
56	3831	52432
57	3897	52345
58	3976	52430
59	4068	52688
60	4146	52746
61	4212	52654
62	4275	52523
63	4332	52328
64	4397	52227
65	4467	52193
66	4537	52152
67	4608	52111
68	4674	52024
69	4731	51845
70	4801	51798
71	4867	51713
72	4976	52078
73	5070	52284
74	5150	52329
75	5215	52222
76	5279	52106
77	5344	52002
78	5410	51911
79	5467	51732
80	5537	51680
81	5604	51598
82	5670	51516
83	5736	51427
84	5795	51276
85	5865	51219
86	5929	51118
87	5994	51023
88	6059	50928
89	6125	50839
90	6188	50736
91	6250	50613
92	6310	50487
93	6374	50387
94	6441	50309
95	6510	50253
96	6579	50192
97	6642	50092
98	6707	50000
99	6774	49927
100	6836	49821
101	6903	49745
102	6959	49597
103	7033	49573
104	7099	49492
105	7162	49394
106	7222	49276
107	7286	49182
108	7349	49087
109	7409	48968
110	7480	48926
111	7547	48857
112	7609	48752
113	7677	48688
114	7740	48598
115	7802	48497
116	7869	48427
117	7936	48361
118	8003	48289
119	8071	48228
120	8229	48697
121	8290	48585
122	8353	48491
123	8400	48305
124	8469	48242
125	8534	48161
126	8602	48095
127	8670	48024
128	8739	47966
129	8801	47865
130	8864	47775
131	8931	47704
132	8998	47629
133	9063	47551
134	9128	47468
135	9200	47423
136	9265	47341
137	9333	47274
138	9392	47163
139	9462	47110
140	9520	46994
141	9583	46906
142	9645	46810
143	9704	46704
144	9770	46626
145	9832	46536
146	9894	46445
147	9957	46356
148	10018	46261
149	10087	46201
150	10152	46123
151	10220	46060
152	10287	45990
153	10351	45909
154	10428	45883
155	10497	45823
156	10556	45721
157	10619	45636
158	10681	45547
159	10747	45475
160	10812	45399
161	10880	45335
162	10945	45259
163	11013	45193
164	11073	45100
165	11138	45023
166	11200	44935
167	11264	44858
168	11331	44787
169	11393	44702
170	11455	44616
171	11515	44521
172	11577	44434
173	11642	44361
174	11709	44295
175	11767	44194
176	11831	44116
177	11896	44042
178	11960	43967
179	12019	43871
180	12080	43783
181	12148	43720
182	12211	43640
183	12277	43570
184	12346	43514
185	12402	43408
186	12465	43330
187	12537	43281
188	12595	43183
189	12656	43099
190	12714	43002
191	12781	42938
192	12846	42866
193	12913	42800
194	12981	42740
195	13048	42672
196	13109	42588
197	13178	42529
198	13244	42461
199	13309	42389
200	13376	42325
201	13440	42252
202	13506	42181
203	13558	42072
204	13628	42014
205	13696	41955
206	13759	41878
207	13823	41802
208	13882	41712
209	13944	41632
210	14002	41542
211	14063	41460
212	14132	41402
213	14197	41332
214	14263	41264
215	14327	41192
216	14394	41127
